entry_num,timestamp,source_url,selected,selected_role,selected_rank,selected_region,selected_platform,selected_gamemode,hero_id,hero_name,pickrate,winrate,role,pull_datetime_utc,pull_date
0,2025-08-29 14:38:52.780749083,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Americas&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Americas', 'tier': 'All'}",All,,Americas,,,orisa,Orisa,11.7,45.9,TANK,2026-05-16 15:18:25.728179+00:00,2026_05_16
0,2025-08-29 14:38:52.780749083,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Americas&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Americas', 'tier': 'All'}",All,,Americas,,,pharah,Pharah,3.7,48.7,DAMAGE,2026-05-16 15:18:25.728179+00:00,2026_05_16
0,2025-08-29 14:38:52.780749083,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Americas&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Americas', 'tier': 'All'}",All,,Americas,,,ramattra,Ramattra,9.1,49.1,TANK,2026-05-16 15:18:25.728179+00:00,2026_05_16
0,2025-08-29 14:38:52.780749083,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Americas&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Americas', 'tier': 'All'}",All,,Americas,,,reaper,Reaper,11.9,56.6,DAMAGE,2026-05-16 15:18:25.728179+00:00,2026_05_16
0,2025-08-29 14:38:52.780749083,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Americas&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Americas', 'tier': 'All'}",All,,Americas,,,reinhardt,Reinhardt,12.4,56.2,TANK,2026-05-16 15:18:25.728179+00:00,2026_05_16
0,2025-08-29 14:38:52.780749083,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Americas&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Americas', 'tier': 'All'}",All,,Americas,,,roadhog,Roadhog,8.1,37.9,TANK,2026-05-16 15:18:25.728179+00:00,2026_05_16
0,2025-08-29 14:38:52.780749083,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Americas&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Americas', 'tier': 'All'}",All,,Americas,,,sigma,Sigma,6.8,52.1,TANK,2026-05-16 15:18:25.728179+00:00,2026_05_16
0,2025-08-29 14:38:52.780749083,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Americas&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Americas', 'tier': 'All'}",All,,Americas,,,sojourn,Sojourn,12.8,45.7,DAMAGE,2026-05-16 15:18:25.728179+00:00,2026_05_16
0,2025-08-29 14:38:52.780749083,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Americas&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Americas', 'tier': 'All'}",All,,Americas,,,soldier-76,Soldier: 76,15.3,50.4,DAMAGE,2026-05-16 15:18:25.728179+00:00,2026_05_16
0,2025-08-29 14:38:52.780749083,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Americas&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Americas', 'tier': 'All'}",All,,Americas,,,sombra,Sombra,9.7,48.4,DAMAGE,2026-05-16 15:18:25.728179+00:00,2026_05_16
0,2025-08-29 14:38:52.780749083,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Americas&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Americas', 'tier': 'All'}",All,,Americas,,,symmetra,Symmetra,5.8,57.9,DAMAGE,2026-05-16 15:18:25.728179+00:00,2026_05_16
0,2025-08-29 14:38:52.780749083,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Americas&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Americas', 'tier': 'All'}",All,,Americas,,,torbjorn,Torbjörn,5.4,55.6,DAMAGE,2026-05-16 15:18:25.728179+00:00,2026_05_16
0,2025-08-29 14:38:52.780749083,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Americas&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Americas', 'tier': 'All'}",All,,Americas,,,tracer,Tracer,6.8,52.1,DAMAGE,2026-05-16 15:18:25.728179+00:00,2026_05_16
0,2025-08-29 14:38:52.780749083,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Americas&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Americas', 'tier': 'All'}",All,,Americas,,,venture,Venture,4.8,53.9,DAMAGE,2026-05-16 15:18:25.728179+00:00,2026_05_16
